edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,connected_virtues_cluster
edge.concept.boasting.concerns_self_presentation.concept.self_presentation,concept.boasting,Boasting,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-boasting-concerns-self-presentation-concept-self-presentation-st-ii-ii-q112-a001-resp'],['st.ii-ii.q112.a001.resp'],['explicit_textual'],"[""a man wishes to throw [jactare] a thing far away, he lifts it up high. And to uplift oneself, properly speaking, is to talk of oneself above oneself [Or 'tall-talking' as we should say in English]. This happens in two ways. For sometimes a man speaks of himself, not above what he is in himself, but above th""]",reviewed_doctrinal,self_presentation
edge.concept.boasting.contrary_to.concept.truth_self_presentation,concept.boasting,Boasting,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-boasting-contrary-to-concept-truth-self-presentation-st-ii-ii-q112-a001-resp'],['st.ii-ii.q112.a001.resp'],['explicit_textual'],['above what others think of one: although in either case it may be called boasting. Hence boasting properly so called is opposed to truth by way of excess.'],reviewed_doctrinal,self_presentation
edge.concept.boasting.species_of.concept.lying,concept.boasting,Boasting,wrong_act,species_of,concept.lying,Lying,wrong_act,['ann.concept-boasting-species-of-concept-lying-st-ii-ii-q110-a002-resp'],['st.ii-ii.q110.a002.resp'],['explicit_textual'],"['e Philosopher (Ethic. iv, 7), lies are of two kinds, namely, the lie which goes beyond the truth , and this belongs to ""boasting,"" and the lie which stops short of the truth , and this belongs to ""irony."" This division is an essential division of lying itself, because lying as such is op']",reviewed_doctrinal,self_presentation
edge.concept.covetousness.concerns_external_goods.concept.external_goods,concept.covetousness,Covetousness,vice,concerns_external_goods,concept.external_goods,External Goods,domain,['ann.concept-covetousness-concerns-external-goods-concept-external-goods-st-ii-ii-q118-a002-resp'],['st.ii-ii.q118.a002.resp'],['explicit_textual'],"['dinately desired, there is a special kind of sin . Now the useful good differs in aspect from the delightful good . And riches , as such, come under the head of useful good , since they are desired under the aspect of being useful to man . Consequently covetousness is a special sin , forasmuch as it is an immoderate love of having']",reviewed_doctrinal,external_goods
edge.concept.covetousness.contrary_to.concept.liberality,concept.covetousness,Covetousness,vice,contrary_to,concept.liberality,Liberality,virtue,['ann.concept-covetousness-contrary-to-concept-liberality-st-ii-ii-q118-a003-resp'],['st.ii-ii.q118.a003.resp'],['explicit_textual'],"['man loves or desires riches too much, or takes too much pleasure in them, even if he be unwilling to steal. On this way covetousness is opposed to liberality, which moderates these affections, as stated above ( 117, 2, ad 3, 3, ad 3, 6 ). On this sense covetousness is spoken of ( 2 Corinthians 9:5 ): ""That they woul']",reviewed_doctrinal,external_goods
edge.concept.covetousness.has_act.concept.retaining,concept.covetousness,Covetousness,vice,has_act,concept.retaining,Retaining,act_type,['ann.concept-covetousness-has-act-concept-retaining-st-ii-ii-q118-a003-resp'],['st.ii-ii.q118.a003.resp'],['explicit_textual'],"['ly in respect of the acquisition and keeping of riches . On this way a man obtains money beyond his due, by stealing or retaining another\'s property. This is opposed to justice , and in this sense covetousness is mentioned ( Ezekiel 22:27 ): ""Her princes in the midst of her are like wolves ravening the prey']",reviewed_doctrinal,external_goods
edge.concept.dissimulation.concerns_self_presentation.concept.self_presentation,concept.dissimulation,Dissimulation,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-dissimulation-concerns-self-presentation-concept-self-presentation-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"['As stated above ( II-II:109:3 ; II-II:110:1 ), it belongs to the virtue of truth to show oneself outwardly by outward signs to be such as one is. Now outward signs are not only words, but also deeds . Accordingly just as it is contrary to truth to signify by words s']",reviewed_doctrinal,self_presentation
edge.concept.dissimulation.contrary_to.concept.truth_self_presentation,concept.dissimulation,Dissimulation,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-dissimulation-contrary-to-concept-truth-self-presentation-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"[""ardly by outward signs to be such as one is. Now outward signs are not only words, but also deeds . Accordingly just as it is contrary to truth to signify by words something different from that which is in one's mind, so also is it contrary to truth to employ signs of deeds or things to signify the con""]",reviewed_doctrinal,self_presentation
edge.concept.dissimulation.species_of.concept.lying,concept.dissimulation,Dissimulation,wrong_act,species_of,concept.lying,Lying,wrong_act,['ann.concept-dissimulation-species-of-concept-lying-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"['ings to signify the contrary of what is in oneself, and this is what is properly denoted by dissimulation. Consequently dissimulation is properly a lie told by the signs of outward deeds . Now it matters not whether one lie in word or in any other way, as stated above ( II-II:110:1 Objection 2 ). Wherefore, si']",reviewed_doctrinal,self_presentation
edge.concept.epikeia.corrects_legal_letter.concept.legal_letter,concept.epikeia,Epikeia / Equity,virtue,corrects_legal_letter,concept.legal_letter,Letter of the Law,law,['ann.concept-epikeia-corrects-legal-letter-concept-legal-letter-st-ii-ii-q120-a001-resp'],['st.ii-ii.q120.a001.resp'],['explicit_textual'],"['deposit in order to fight against his country. On these and like cases it is bad to follow the law , and it is good to set aside the letter of the law and to follow the dictates of justice and the common good . This is the object of ""epikeia"" which we call equity. Therefore it is evident that ""epikeia"" is a v']",reviewed_doctrinal,legal_equity
edge.concept.epikeia.directed_to.concept.common_good,concept.epikeia,Epikeia / Equity,virtue,directed_to,concept.common_good,Common Good,end,['ann.concept-epikeia-directed-to-concept-common-good-st-ii-ii-q120-a001-resp'],['st.ii-ii.q120.a001.resp'],['explicit_textual'],"['happens: although if the law be applied to certain cases it will frustrate the equality of justice and be injurious to the common good , which the law has in view. Thus the law requires deposits to be restored, because in the majority of cases this is just. Yet it happens sometimes to be injur']",reviewed_doctrinal,legal_equity
edge.concept.epikeia.preserves_intent_of_law.concept.intent_of_law,concept.epikeia,Epikeia / Equity,virtue,preserves_intent_of_law,concept.intent_of_law,Intent of Law,doctrine,['ann.concept-epikeia-preserves-intent-of-law-concept-intent-of-law-st-ii-ii-q120-a001-resp'],['st.ii-ii.q120.a001.resp'],['explicit_textual'],"['if the law be applied to certain cases it will frustrate the equality of justice and be injurious to the common good , which the law has in view. Thus the law requires deposits to be restored, because in the majority of cases this is just. Yet it happens sometimes to be injurious—for instance, if a madm']",reviewed_doctrinal,legal_equity
edge.concept.epikeia.species_of.concept.justice,concept.epikeia,Epikeia / Equity,virtue,species_of,concept.justice,Justice,virtue,['ann.concept-epikeia-species-of-concept-justice-st-ii-ii-q120-a002-resp'],['st.ii-ii.q120.a002.resp'],['explicit_textual'],"['as ""being"" of substance and accident . Accordingly, ""epikeia"" is a part of justice taken in a general sense, for it is a kind of justice , as the Philosopher states (Ethic. v, 10). Wherefore it is evident that ""epikeia"" is a subjective part of justice ; and justice is predicated of it with prior']",reviewed_doctrinal,legal_equity
edge.concept.flattery.concerns_social_interaction.concept.social_interaction,concept.flattery,Flattery,wrong_act,concerns_social_interaction,concept.social_interaction,Social Interaction,domain,['ann.concept-flattery-concerns-social-interaction-concept-social-interaction-st-ii-ii-q115-a001-resp'],['st.ii-ii.q115.a001.resp'],['explicit_textual'],"['ttery"" is wont to be applied to all who wish to exceed the mode of virtue in pleasing others by words or deeds in their ordinary behavior towards their fellows.']",reviewed_doctrinal,social_interaction
edge.concept.flattery.contrary_to.concept.friendliness_affability,concept.flattery,Flattery,wrong_act,contrary_to,concept.friendliness_affability,Friendliness / Affability,virtue,['ann.concept-flattery-contrary-to-concept-friendliness-affability-st-ii-ii-q115-a001-resp'],['st.ii-ii.q115.a001.resp'],['explicit_textual'],"['tain good , or of avoiding a certain evil . Accordingly, if a man were to wish always to speak pleasantly to others, he would exceed the mode of pleasing, and would therefore sin by excess. If he do this with the mere intention of pleasing he is said to be ""complaisant,"" according to the Philosopher (Ethic. iv,']",reviewed_doctrinal,social_interaction
edge.concept.friendliness_affability.annexed_to.concept.justice,concept.friendliness_affability,Friendliness / Affability,virtue,annexed_to,concept.justice,Justice,virtue,['ann.concept-friendliness-affability-annexed-to-concept-justice-st-ii-ii-q114-a002-resp'],['st.ii-ii.q114.a002.resp'],['explicit_textual'],"['This virtue is a part of justice , being annexed to it as to a principal virtue . Because in common with justice it is directed to another person , even as justice is: yet it falls short of th']",reviewed_doctrinal,social_interaction
edge.concept.friendliness_affability.concerns_social_interaction.concept.social_interaction,concept.friendliness_affability,Friendliness / Affability,virtue,concerns_social_interaction,concept.social_interaction,Social Interaction,domain,['ann.concept-friendliness-affability-concerns-social-interaction-concept-social-interaction-st-ii-ii-q114-a001-resp'],['st.ii-ii.q114.a001.resp'],['explicit_textual'],"['ated above ( II-II:109:2 ). And it behooves man to be maintained in a becoming order towards other men as regards their mutual relations with one another, in point of both deeds and words, so that they behave towards one another in a becoming manner. Hence the need of a special virtue that maintains the becoming']",reviewed_doctrinal,social_interaction
edge.concept.friendliness_affability.opposed_by.concept.flattery,concept.friendliness_affability,Friendliness / Affability,virtue,opposed_by,concept.flattery,Flattery,wrong_act,['ann.concept-friendliness-affability-opposed-by-concept-flattery-st-ii-ii-q115-a001-resp'],['st.ii-ii.q115.a001.resp'],['explicit_textual'],"['tain good , or of avoiding a certain evil . Accordingly, if a man were to wish always to speak pleasantly to others, he would exceed the mode of pleasing, and would therefore sin by excess. If he do this with the mere intention of pleasing he is said to be ""complaisant,"" according to the Philosopher (Ethic. iv,']",reviewed_doctrinal,social_interaction
edge.concept.friendliness_affability.opposed_by.concept.quarreling,concept.friendliness_affability,Friendliness / Affability,virtue,opposed_by,concept.quarreling,Quarreling,wrong_act,['ann.concept-friendliness-affability-opposed-by-concept-quarreling-st-ii-ii-q116-a001-resp'],['st.ii-ii.q116.a001.resp'],['explicit_textual'],"['adiction arises by reason of the speaker being a person to whom someone does not fear to be disagreeable: whence arises quarreling, which is opposed to the aforesaid friendship or affability, to which it belongs to behave agreeably towards those among whom we dwell. Hence the Philosopher says (Ethic. iv, 6) that ""those who are opposed to everything']",reviewed_doctrinal,social_interaction
edge.concept.hypocrisy.concerns_self_presentation.concept.self_presentation,concept.hypocrisy,Hypocrisy,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-hypocrisy-concerns-self-presentation-concept-self-presentation-st-ii-ii-q111-a003-resp'],['st.ii-ii.q111.a003.resp'],['explicit_textual'],"[""d this species depends on that act's proper object. Wherefore since hypocrisy is a kind of dissimulation, whereby a man simulates a character which is not his, as stated in the preceding article, it follows that it is directly opposed to truth whereby a man shows himself in life and speech to be what he is, as stated""]",reviewed_doctrinal,self_presentation
edge.concept.hypocrisy.contrary_to.concept.truth_self_presentation,concept.hypocrisy,Hypocrisy,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-hypocrisy-contrary-to-concept-truth-self-presentation-st-ii-ii-q111-a003-resp'],['st.ii-ii.q111.a003.resp'],['explicit_textual'],"['issimulation, whereby a man simulates a character which is not his, as stated in the preceding article, it follows that it is directly opposed to truth whereby a man shows himself in life and speech to be what he is, as stated in Ethic. iv, 7. The indirect opposition or contrariety of hypocrisy may be consider']",reviewed_doctrinal,self_presentation
edge.concept.hypocrisy.species_of.concept.dissimulation,concept.hypocrisy,Hypocrisy,wrong_act,species_of,concept.dissimulation,Dissimulation,wrong_act,['ann.concept-hypocrisy-species-of-concept-dissimulation-st-ii-ii-q111-a002-resp'],['st.ii-ii.q111.a002.resp'],['explicit_textual'],"['em what he is not is a hypocrite: for he pretends to be just without being so in reality."" We must conclude, therefore, that hypocrisy is dissimulation, not, however, any form of dissimulation, but only when one person simulates another, as when a sinner simulates the person of a just man .']",reviewed_doctrinal,self_presentation
edge.concept.irony.concerns_self_presentation.concept.self_presentation,concept.irony,Irony,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-irony-concerns-self-presentation-concept-self-presentation-st-ii-ii-q113-a001-resp'],['st.ii-ii.q113.a001.resp'],['explicit_textual'],"['To speak so as to belittle oneself may occur in two ways. First so as to safeguard truth , as when a man conceals the greater things in himself, but discovers and asserts lesser things of himsel']",reviewed_doctrinal,self_presentation
edge.concept.irony.contrary_to.concept.boasting,concept.irony,Irony,wrong_act,contrary_to,concept.boasting,Boasting,wrong_act,['ann.concept-irony-contrary-to-concept-boasting-st-ii-ii-q113-a002-resp'],['st.ii-ii.q113.a002.resp'],['explicit_textual'],"['mes on account of the motive for sinning ; thus a mischievous lie is more grievous than an officious or jocose lie. Now irony and boasting lie about the same matter , either by words, or by any other outward signs, namely, about matters affecting the person : so that in this respect they are equal. But for the most part bo']",reviewed_doctrinal,self_presentation
edge.concept.irony.contrary_to.concept.truth_self_presentation,concept.irony,Irony,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-irony-contrary-to-concept-truth-self-presentation-st-ii-ii-q113-a001-resp'],['st.ii-ii.q113.a001.resp'],['explicit_textual'],"['elf he does not perceive, or by denying something great of himself, which nevertheless he perceives himself to possess: this pertains to irony, and is always a sin .']",reviewed_doctrinal,self_presentation
edge.concept.irony.species_of.concept.lying,concept.irony,Irony,wrong_act,species_of,concept.lying,Lying,wrong_act,['ann.concept-irony-species-of-concept-lying-st-ii-ii-q110-a002-resp'],['st.ii-ii.q110.a002.resp'],['explicit_textual'],"['es beyond the truth , and this belongs to ""boasting,"" and the lie which stops short of the truth , and this belongs to ""irony."" This division is an essential division of lying itself, because lying as such is opposed to truth , as stated in the preceding Article: and truth is a kind o']",reviewed_doctrinal,self_presentation
edge.concept.liberality.annexed_to.concept.justice,concept.liberality,Liberality,virtue,annexed_to,concept.justice,Justice,virtue,['ann.concept-liberality-annexed-to-concept-justice-st-ii-ii-q117-a005-resp'],['st.ii-ii.q117.a005.resp'],['strong_textual_inference'],"['nd above ( Article 2, Reply to Objection 3 ). Hence it is that liberality is reckoned by some to be a part of justice , being annexed thereto as to a principal virtue .']",reviewed_doctrinal,external_goods
edge.concept.liberality.concerns_external_goods.concept.external_goods,concept.liberality,Liberality,virtue,concerns_external_goods,concept.external_goods,External Goods,domain,['ann.concept-liberality-concerns-external-goods-concept-external-goods-st-ii-ii-q117-a002-resp'],['st.ii-ii.q117.a002.resp'],['explicit_textual'],"['of a man\'s free-handedness towards others are the goods he possesses, which are denoted by the term ""money."" Therefore the proper matter of liberality is money.']",reviewed_doctrinal,external_goods
edge.concept.liberality.has_act.concept.giving,concept.liberality,Liberality,virtue,has_act,concept.giving,Giving,act_type,['ann.concept-liberality-has-act-concept-giving-st-ii-ii-q117-a004-resp'],['st.ii-ii.q117.a004.resp'],['explicit_textual'],"['ue as such to tend to what is more perfect, since "" virtue is a kind of perfection"" (Phys. vii, text. 17,18). Therefore a liberal man is praised chiefly for giving.']",reviewed_doctrinal,external_goods
edge.concept.liberality.opposed_by.concept.covetousness,concept.liberality,Liberality,virtue,opposed_by,concept.covetousness,Covetousness,vice,['ann.concept-liberality-opposed-by-concept-covetousness-st-ii-ii-q118-a003-resp'],['st.ii-ii.q118.a003.resp'],['explicit_textual'],"['man loves or desires riches too much, or takes too much pleasure in them, even if he be unwilling to steal. On this way covetousness is opposed to liberality, which moderates these affections, as stated above ( 117, 2, ad 3, 3, ad 3, 6 ). On this sense covetousness is spoken of ( 2 Corinthians 9:5 ): ""That they woul']",reviewed_doctrinal,external_goods
edge.concept.liberality.opposed_by.concept.prodigality,concept.liberality,Liberality,virtue,opposed_by,concept.prodigality,Prodigality,vice,['ann.concept-liberality-opposed-by-concept-prodigality-st-ii-ii-q119-a002-resp'],['st.ii-ii.q119.a002.resp'],['strong_textual_inference'],"['ove ( Article 1 ), the opposition between prodigality and covetousness is one of excess and deficiency; either of which destroys the mean of virtue . Now a thing is vicious and sinful through corrupting the good of virtue . Hence it follows that prodigality is a sin .']",reviewed_doctrinal,external_goods
edge.concept.lying.contrary_to.concept.truth_self_presentation,concept.lying,Lying,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-lying-contrary-to-concept-truth-self-presentation-st-ii-ii-q110-a002-resp'],['st.ii-ii.q110.a002.resp'],['explicit_textual'],"['stops short of the truth , and this belongs to ""irony."" This division is an essential division of lying itself, because lying as such is opposed to truth , as stated in the preceding Article: and truth is a kind of equality, to which more and less are in essential opposition. Secondly, lies may be divided with r']",reviewed_doctrinal,self_presentation
edge.concept.prodigality.concerns_external_goods.concept.external_goods,concept.prodigality,Prodigality,vice,concerns_external_goods,concept.external_goods,External Goods,domain,['ann.concept-prodigality-concerns-external-goods-concept-external-goods-st-ii-ii-q119-a001-resp'],['st.ii-ii.q119.a001.resp'],['explicit_textual'],"['and deficiency. Now covetousness and prodigality differ variously in respect of excess and deficiency. Thus, as regards affection for riches , the covetous man exceeds by loving them more than he ought, while the prodigal is deficient, by being less careful of them than he ought: and as regards exte']",reviewed_doctrinal,external_goods
edge.concept.prodigality.contrary_to.concept.covetousness,concept.prodigality,Prodigality,vice,contrary_to,concept.covetousness,Covetousness,vice,['ann.concept-prodigality-contrary-to-concept-covetousness-st-ii-ii-q119-a001-resp'],['st.ii-ii.q119.a001.resp'],['explicit_textual'],"['usness , on the contrary, denotes deficiency in giving, but excess in acquiring and retaining. Hence it is evident that prodigality is opposed to covetousness .']",reviewed_doctrinal,external_goods
edge.concept.prodigality.contrary_to.concept.liberality,concept.prodigality,Prodigality,vice,contrary_to,concept.liberality,Liberality,virtue,['ann.concept-prodigality-contrary-to-concept-liberality-st-ii-ii-q119-a002-resp'],['st.ii-ii.q119.a002.resp'],['strong_textual_inference'],"['ove ( Article 1 ), the opposition between prodigality and covetousness is one of excess and deficiency; either of which destroys the mean of virtue . Now a thing is vicious and sinful through corrupting the good of virtue . Hence it follows that prodigality is a sin .']",reviewed_doctrinal,external_goods
edge.concept.quarreling.concerns_social_interaction.concept.social_interaction,concept.quarreling,Quarreling,wrong_act,concerns_social_interaction,concept.social_interaction,Social Interaction,domain,['ann.concept-quarreling-concerns-social-interaction-concept-social-interaction-st-ii-ii-q116-a001-resp'],['st.ii-ii.q116.a001.resp'],['explicit_textual'],"['quarreling, which is opposed to the aforesaid friendship or affability, to which it belongs to behave agreeably towards those among whom we dwell. Hence the Philosopher says (Ethic. iv, 6) that ""those who are opposed to everything with the intent of being disagreeable, and care for nobody, are said to be']",reviewed_doctrinal,social_interaction
edge.concept.quarreling.contrary_to.concept.friendliness_affability,concept.quarreling,Quarreling,wrong_act,contrary_to,concept.friendliness_affability,Friendliness / Affability,virtue,['ann.concept-quarreling-contrary-to-concept-friendliness-affability-st-ii-ii-q116-a001-resp'],['st.ii-ii.q116.a001.resp'],['explicit_textual'],"['adiction arises by reason of the speaker being a person to whom someone does not fear to be disagreeable: whence arises quarreling, which is opposed to the aforesaid friendship or affability, to which it belongs to behave agreeably towards those among whom we dwell. Hence the Philosopher says (Ethic. iv, 6) that ""those who are opposed to everything']",reviewed_doctrinal,social_interaction
edge.concept.truth_self_presentation.annexed_to.concept.justice,concept.truth_self_presentation,Truth,virtue,annexed_to,concept.justice,Justice,virtue,['ann.concept-truth-self-presentation-annexed-to-concept-justice-st-ii-ii-q109-a003-resp'],['st.ii-ii.q109.a003.resp'],['explicit_textual'],"[', but rather the moral debt, in so far as, out of equity, one man owes another a manifestation of the truth . Therefore truth is a part of justice , being annexed thereto as a secondary virtue to its principal.']",reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.concerns_self_presentation.concept.self_presentation,concept.truth_self_presentation,Truth,virtue,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-truth-self-presentation-concerns-self-presentation-concept-self-presentation-st-ii-ii-q109-a002-resp'],['st.ii-ii.q109.a002.resp'],['explicit_textual'],"['spect of good will be found where there is a special order. Now there is a special order whereby our externals, whether words or deeds , are duly ordered in relation to some thing, as sign to thing signified: and thereto man is perfected by the virtue of truth . Wherefore it is evident that tr']",reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.opposed_by.concept.boasting,concept.truth_self_presentation,Truth,virtue,opposed_by,concept.boasting,Boasting,wrong_act,['ann.concept-truth-self-presentation-opposed-by-concept-boasting-st-ii-ii-q112-a001-resp'],['st.ii-ii.q112.a001.resp'],['explicit_textual'],['above what others think of one: although in either case it may be called boasting. Hence boasting properly so called is opposed to truth by way of excess.'],reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.opposed_by.concept.dissimulation,concept.truth_self_presentation,Truth,virtue,opposed_by,concept.dissimulation,Dissimulation,wrong_act,['ann.concept-truth-self-presentation-opposed-by-concept-dissimulation-st-ii-ii-q111-a003-resp'],['st.ii-ii.q111.a003.resp'],['explicit_textual'],"['lation, whereby a man simulates a character which is not his, as stated in the preceding article, it follows that it is directly opposed to truth whereby a man shows himself in life and speech to be what he is, as stated in Ethic. iv, 7. The indirect opposition or contrariety of hypocrisy may be consider']",reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.opposed_by.concept.hypocrisy,concept.truth_self_presentation,Truth,virtue,opposed_by,concept.hypocrisy,Hypocrisy,wrong_act,['ann.concept-truth-self-presentation-opposed-by-concept-hypocrisy-st-ii-ii-q111-a003-resp'],['st.ii-ii.q111.a003.resp'],['explicit_textual'],"['issimulation, whereby a man simulates a character which is not his, as stated in the preceding article, it follows that it is directly opposed to truth whereby a man shows himself in life and speech to be what he is, as stated in Ethic. iv, 7. The indirect opposition or contrariety of hypocrisy may be consider']",reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.opposed_by.concept.irony,concept.truth_self_presentation,Truth,virtue,opposed_by,concept.irony,Irony,wrong_act,['ann.concept-truth-self-presentation-opposed-by-concept-irony-st-ii-ii-q113-a001-resp'],['st.ii-ii.q113.a001.resp'],['explicit_textual'],"['elf he does not perceive, or by denying something great of himself, which nevertheless he perceives himself to possess: this pertains to irony, and is always a sin .']",reviewed_doctrinal,self_presentation
edge.concept.truth_self_presentation.opposed_by.concept.lying,concept.truth_self_presentation,Truth,virtue,opposed_by,concept.lying,Lying,wrong_act,['ann.concept-truth-self-presentation-opposed-by-concept-lying-st-ii-ii-q110-a002-resp'],['st.ii-ii.q110.a002.resp'],['explicit_textual'],"['stops short of the truth , and this belongs to ""irony."" This division is an essential division of lying itself, because lying as such is opposed to truth , as stated in the preceding Article: and truth is a kind of equality, to which more and less are in essential opposition. Secondly, lies may be divided with r']",reviewed_doctrinal,self_presentation
