edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,due_mode,review_layer
edge.concept.disobedience.concerns_due_to.concept.authority_related_due,concept.disobedience,Disobedience,sin_type,concerns_due_to,concept.authority_related_due,Authority-Related Due,doctrine,"[""ann.concept-disobedience-concerns-due-to-concept-authority-related-due-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""r neighbor. The charity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to superiors. Wherefore al""]",authority,reviewed_doctrinal
edge.concept.disobedience.contrary_to.concept.obedience,concept.disobedience,Disobedience,sin_type,contrary_to,concept.obedience,Obedience,virtue,"[""ann.concept-disobedience-contrary-to-concept-obedience-st-ii-ii-q105-a001-resp"", ""ann.concept-disobedience-contrary-to-concept-obedience-st-ii-ii-q105-a002-resp""]","[""st.ii-ii.q105.a001.resp"", ""st.ii-ii.q105.a002.resp""]","[""explicit_textual""]","[""r neighbor. The charity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to sup"", ""de a greater good , but through setting aside that which is more in the intention of the person commanding. Accordingly the various degrees of disobedience must correspond with the various degrees of precepts: because the disobedience in which there is contempt of God's precept, from the very nature of disobedienc""]",authority,reviewed_doctrinal
edge.concept.disobedience.owed_to_role.concept.superior_role,concept.disobedience,Disobedience,sin_type,owed_to_role,concept.superior_role,Superior Role,role,"[""ann.concept-disobedience-owed-to-role-concept-superior-role-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""\""He that resisteth the power, resisteth the ordinance of God .\"" It is also contrary to the love of our neighbor, as it withdraws from the superior who is our neighbor the obedience that is his due.""]",authority,reviewed_doctrinal
edge.concept.disobedience.responds_to_command.concept.command,concept.disobedience,Disobedience,sin_type,responds_to_command,concept.command,Command,act_type,"[""ann.concept-disobedience-responds-to-command-concept-command-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""rity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to superiors. Wherefore also diso""]",authority,reviewed_doctrinal
edge.concept.dulia.concerns_due_to.concept.excellence_related_due,concept.dulia,Dulia,virtue,concerns_due_to,concept.excellence_related_due,Excellence-Related Due,doctrine,"[""ann.concept-dulia-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a003-resp"", ""ann.concept-dulia-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a004-resp""]","[""st.ii-ii.q103.a003.resp"", ""st.ii-ii.q103.a004.resp""]","[""explicit_textual""]","[""he divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all"", ""ll have parts differing specifically from one another. On another way it may be taken in a strict sense as denoting the reverence of a servant for his lord, for dulia signifies servitude, as stated above ( Article 3 ). Taken in this sense it is not divided into different species , but is one of the species of obse""]",excellence,reviewed_doctrinal
edge.concept.dulia.has_act.concept.service,concept.dulia,Dulia,virtue,has_act,concept.service,Service,act_type,"[""ann.concept-dulia-has-act-concept-service-st-ii-ii-q103-a003-resp""]","[""st.ii-ii.q103.a003.resp""]","[""explicit_textual""]","[""to the divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all""]",excellence,reviewed_doctrinal
edge.concept.dulia.owed_to_role.concept.human_lord_role,concept.dulia,Dulia,virtue,owed_to_role,concept.human_lord_role,Human Lord Role,role,"[""ann.concept-dulia-owed-to-role-concept-human-lord-role-st-ii-ii-q103-a003-resp"", ""ann.concept-dulia-owed-to-role-concept-human-lord-role-st-ii-ii-q103-a004-resp""]","[""st.ii-ii.q103.a003.resp"", ""st.ii-ii.q103.a004.resp""]","[""explicit_textual""]","[""he divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all"", ""ll have parts differing specifically from one another. On another way it may be taken in a strict sense as denoting the reverence of a servant for his lord, for dulia signifies servitude, as stated above ( Article 3 ). Taken in this sense it is not divided into different species , but is one of the species of obse""]",excellence,reviewed_doctrinal
edge.concept.dulia.species_of.concept.observance,concept.dulia,Dulia,virtue,species_of,concept.observance,Observance,virtue,"[""ann.concept-dulia-species-of-concept-observance-st-ii-ii-q103-a003-resp""]","[""st.ii-ii.q103.a003.resp""]","[""explicit_textual""]","[""ich pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all those who excel in dignity, while dulia properly speaking is the reverence of servants for their master, dulia being the Gr""]",excellence,reviewed_doctrinal
edge.concept.gratitude.annexed_to.concept.justice,concept.gratitude,Gratitude,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-gratitude-annexed-to-concept-justice-st-ii-ii-q106-a001-resp""]","[""st.ii-ii.q106.a001.resp""]","[""strong_textual_inference""]","[""ue worship, and piety, whereby we worship our parents, and observance, whereby we worship persons excelling in dignity, there is thankfulness or gratitude, whereby we give thanks to our benefactors. And it is distinct from the foregoing virtues , just as each of these is distinct from the one that precedes, as fa""]",benefaction,reviewed_doctrinal
edge.concept.gratitude.concerns_due_to.concept.benefaction_related_due,concept.gratitude,Gratitude,virtue,concerns_due_to,concept.benefaction_related_due,Benefaction-Related Due,doctrine,"[""ann.concept-gratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q106-a001-resp"", ""ann.concept-gratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q106-a003-resp""]","[""st.ii-ii.q106.a001.resp"", ""st.ii-ii.q106.a003.resp""]","[""explicit_textual""]","[""upbringing: thirdly it is found in the person that excels in dignity, from whom general favors proceed; fourthly it is found in a benefactor, from whom we have received particular and private favors, on account of which we are under particular obligation to him. Accordingly, since what we owe God ,"", ""it is evident that a benefactor, as such, is cause of the beneficiary. Hence the natural order requires that he who has received a favor should, by repaying the favor, turn to his benefactor according to the mode of each. And, as stated above with regard to a father ( II-II:31:3 ; II-II:101:2 ),""]",benefaction,reviewed_doctrinal
edge.concept.gratitude.has_act.concept.honor,concept.gratitude,Gratitude,virtue,has_act,concept.honor,Honor,act_type,"[""ann.concept-gratitude-has-act-concept-honor-st-ii-ii-q106-a003-resp""]","[""st.ii-ii.q106.a003.resp""]","[""explicit_textual""]","[""efactor according to the mode of each. And, as stated above with regard to a father ( II-II:31:3 ; II-II:101:2 ), a man owes his benefactor, as such, honor and reverence, since the latter stands to him in the relation of principle; but accidentally he owes him assistance or support, if he need it.""]",benefaction,reviewed_doctrinal
edge.concept.gratitude.owed_to_role.concept.benefactor_role,concept.gratitude,Gratitude,virtue,owed_to_role,concept.benefactor_role,Benefactor Role,role,"[""ann.concept-gratitude-owed-to-role-concept-benefactor-role-st-ii-ii-q106-a001-resp"", ""ann.concept-gratitude-owed-to-role-concept-benefactor-role-st-ii-ii-q106-a003-resp""]","[""st.ii-ii.q106.a001.resp"", ""st.ii-ii.q106.a003.resp""]","[""explicit_textual""]","["": thirdly it is found in the person that excels in dignity, from whom general favors proceed; fourthly it is found in a benefactor, from whom we have received particular and private favors, on account of which we are under particular obligation to him. Accordingly, since what we owe God ,"", ""se of the beneficiary. Hence the natural order requires that he who has received a favor should, by repaying the favor, turn to his benefactor according to the mode of each. And, as stated above with regard to a father ( II-II:31:3 ; II-II:101:2 ), a man owes his benefactor, as such, honor and reveren""]",benefaction,reviewed_doctrinal
edge.concept.gratitude.responds_to_benefaction.concept.benefaction,concept.gratitude,Gratitude,virtue,responds_to_benefaction,concept.benefaction,Benefaction,act_type,"[""ann.concept-gratitude-responds-to-benefaction-concept-benefaction-st-ii-ii-q106-a001-resp"", ""ann.concept-gratitude-responds-to-benefaction-concept-benefaction-st-ii-ii-q106-a003-resp"", ""ann.concept-gratitude-responds-to-benefaction-concept-benefaction-st-ii-ii-q106-a005-resp""]","[""st.ii-ii.q106.a001.resp"", ""st.ii-ii.q106.a003.resp"", ""st.ii-ii.q106.a005.resp""]","[""explicit_textual""]","[""t excels in dignity, from whom general favors proceed; fourthly it is found in a benefactor, from whom we have received particular and private favors, on account of which we are under particular obligation to him. Accordingly, since what we owe God , or our father, or a person excelling in dignity, is not th"", ""it is evident that a benefactor, as such, is cause of the beneficiary. Hence the natural order requires that he who has received a favor should, by repaying the favor, turn to his benefactor according to the mode of each. And, as stated above with regard to a father ( II-II:31:3 ; II-II:101:2 ),"", ""in a loan and the like: and in such cases repayment must be made according to the quantity received. On the other hand, repayment of a favor belongs, though in different ways, to friendship and likewise to the virtue of gratitude when it has the character of a moral debt. For in the repayment of friendship""]",benefaction,reviewed_doctrinal
edge.concept.honor.concerns_due_to.concept.excellence_related_due,concept.honor,Honor,act_type,concerns_due_to,concept.excellence_related_due,Excellence-Related Due,doctrine,"[""ann.concept-honor-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a001-resp"", ""ann.concept-honor-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a002-resp""]","[""st.ii-ii.q103.a001.resp"", ""st.ii-ii.q103.a002.resp""]","[""explicit_textual""]","[""Honor denotes a witnessing to a person's excellence. Therefore men who wish to be honored seek a witnessing to their excellence, according to the Philosopher (Ethic. i, 5; viii, 8). Now witness is borne either b"", ""the point of his being more excellent than they, but also in itself, or in relation to other persons , and in this way honor is always due to a person , on account of some excellence or superiority. For the person honored has no need to be more excellent than those who honor him; it may suffice for him to be""]",excellence,reviewed_doctrinal
edge.concept.ingratitude.concerns_due_to.concept.benefaction_related_due,concept.ingratitude,Ingratitude,sin_type,concerns_due_to,concept.benefaction_related_due,Benefaction-Related Due,doctrine,"[""ann.concept-ingratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q107-a001-resp"", ""ann.concept-ingratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q107-a002-resp""]","[""st.ii-ii.q107.a001.resp"", ""st.ii-ii.q107.a002.resp""]","[""explicit_textual""]","[""As stated above ( 106, 4, ad 1, 6 ) a debt of gratitude is a moral debt required by virtue . Now a thing is a sin from the fact of its being contrary to virtue . Wherefore it is evident that every ingratitude is a s"", ""ue, or sooner than it is due, as stated above ( II-II:106:4 ). But still more opposed to gratitude is the vice denoting deficiency of gratitude, because the virtue of gratitude, as stated above ( II-II:106:6 ), inclines to return something more. Wherefore ingratitude is properly denominated from being""]",benefaction,reviewed_doctrinal
edge.concept.ingratitude.contrary_to.concept.gratitude,concept.ingratitude,Ingratitude,sin_type,contrary_to,concept.gratitude,Gratitude,virtue,"[""ann.concept-ingratitude-contrary-to-concept-gratitude-st-ii-ii-q107-a001-resp"", ""ann.concept-ingratitude-contrary-to-concept-gratitude-st-ii-ii-q107-a002-resp""]","[""st.ii-ii.q107.a001.resp"", ""st.ii-ii.q107.a002.resp""]","[""explicit_textual""]","[""required by virtue . Now a thing is a sin from the fact of its being contrary to virtue . Wherefore it is evident that every ingratitude is a sin ."", ""atitude, because the virtue of gratitude, as stated above ( II-II:106:6 ), inclines to return something more. Wherefore ingratitude is properly denominated from being a deficiency of gratitude. Now every deficiency or privation takes its species from the opposite habit : for blindness and deafness differ according to the difference of sight and heari""]",benefaction,reviewed_doctrinal
edge.concept.ingratitude.owed_to_role.concept.benefactor_role,concept.ingratitude,Ingratitude,sin_type,owed_to_role,concept.benefactor_role,Benefactor Role,role,"[""ann.concept-ingratitude-owed-to-role-concept-benefactor-role-st-ii-ii-q107-a004-resp""]","[""st.ii-ii.q107.a004.resp""]","[""explicit_textual""]","[""e deserves to suffer and thus it is certain that he deserves to be deprived of our favor. The second is, what ought his benefactor to do? For in the first place he should not easily judge him to be ungrateful, since, as Seneca remarks (De Benef. ii.), \""a man is often grateful although he r""]",benefaction,reviewed_doctrinal
edge.concept.ingratitude.responds_to_benefaction.concept.benefaction,concept.ingratitude,Ingratitude,sin_type,responds_to_benefaction,concept.benefaction,Benefaction,act_type,"[""ann.concept-ingratitude-responds-to-benefaction-concept-benefaction-st-ii-ii-q107-a002-resp""]","[""st.ii-ii.q107.a002.resp""]","[""explicit_textual""]","[""s, however, various degrees corresponding in their order to the things required for gratitude. The first of these is to recognize the favor received, the second to express one's appreciation and thanks, and the third to repay the favor at a suitable place and time according to one's means. And since what is""]",benefaction,reviewed_doctrinal
edge.concept.obedience.annexed_to.concept.justice,concept.obedience,Obedience,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-obedience-annexed-to-concept-justice-st-ii-ii-q104-a002-resp""]","[""st.ii-ii.q104.a002.resp""]","[""strong_textual_inference""]","[""their superiors, this one, that they are bound to obey their commands, stands out as special among the rest. Wherefore obedience is a special virtue , and its specific object is a command tacit or express, because the superior's will, however it become known , is a tacit precept, and a man's obedience seems""]",authority,reviewed_doctrinal
edge.concept.obedience.concerns_due_to.concept.authority_related_due,concept.obedience,Obedience,virtue,concerns_due_to,concept.authority_related_due,Authority-Related Due,doctrine,"[""ann.concept-obedience-concerns-due-to-concept-authority-related-due-st-ii-ii-q104-a001-resp"", ""ann.concept-obedience-concerns-due-to-concept-authority-related-due-st-ii-ii-q104-a002-resp""]","[""st.ii-ii.q104.a001.resp"", ""st.ii-ii.q104.a002.resp""]","[""explicit_textual""]","[""ower bestowed on them by God : and so in human affairs also the higher must move the lower by their will in virtue of a divinely established authority. Now to move by reason and will is to command. Wherefore just as in virtue of the divinely established natural order the lower natural things need to be subjec"", ""d to all good deeds that have a special reason of praise: for it belongs properly to virtue to render a deed good . Now obedience to a superior is due in accordance with the divinely established order of things, as shown above ( Article 1 ), and therefore it is a good , since good consists in mode, species an""]",authority,reviewed_doctrinal
edge.concept.obedience.owed_to_role.concept.superior_role,concept.obedience,Obedience,virtue,owed_to_role,concept.superior_role,Superior Role,role,"[""ann.concept-obedience-owed-to-role-concept-superior-role-st-ii-ii-q104-a001-resp"", ""ann.concept-obedience-owed-to-role-concept-superior-role-st-ii-ii-q104-a005-resp""]","[""st.ii-ii.q104.a001.resp"", ""st.ii-ii.q104.a005.resp""]","[""explicit_textual""]","[""o be subject to the movement of the higher, so too in human affairs, in virtue of the order of natural and divine law , inferiors are bound to obey their superiors."", ""as regards being heated, but not as regards being dried up or consumed. On like manner there are two reasons, for which a subject may not be bound to obey his superior in all things. First on account of the command of a higher power. For as a gloss says on Romans 13:2 , \""They that resist [ Vulgate : 'He that resisteth'] the power, resist t""]",authority,reviewed_doctrinal
edge.concept.obedience.responds_to_command.concept.command,concept.obedience,Obedience,virtue,responds_to_command,concept.command,Command,act_type,"[""ann.concept-obedience-responds-to-command-concept-command-st-ii-ii-q104-a002-resp"", ""ann.concept-obedience-responds-to-command-concept-command-st-ii-ii-q104-a004-resp""]","[""st.ii-ii.q104.a002.resp"", ""st.ii-ii.q104.a004.resp""]","[""explicit_textual""]","[""y are bound to obey their commands, stands out as special among the rest. Wherefore obedience is a special virtue , and its specific object is a command tacit or express, because the superior's will, however it become known , is a tacit precept, and a man's obedience seems to be all the more prompt, forasmuch as by obeying he f"", ""hings are subject to the divine motion by a natural necessity so too all wills, by a kind of necessity of justice , are bound to obey the divine command.""]",authority,reviewed_doctrinal
edge.concept.observance.annexed_to.concept.justice,concept.observance,Observance,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-observance-annexed-to-concept-justice-st-ii-ii-q102-a001-resp""]","[""st.ii-ii.q102.a001.resp""]","[""strong_textual_inference""]","[""t as, in a manner, beneath religion, whereby worship is given to God, we find piety, whereby we worship our parents, so under piety we find observance, whereby worship and honor are paid to persons in positions of dignity.""]",excellence,reviewed_doctrinal
edge.concept.observance.concerns_due_to.concept.excellence_related_due,concept.observance,Observance,virtue,concerns_due_to,concept.excellence_related_due,Excellence-Related Due,doctrine,"[""ann.concept-observance-concerns-due-to-concept-excellence-related-due-st-ii-ii-q102-a001-resp"", ""ann.concept-observance-concerns-due-to-concept-excellence-related-due-st-ii-ii-q102-a003-resp""]","[""st.ii-ii.q102.a001.resp"", ""st.ii-ii.q102.a003.resp""]","[""explicit_textual""]","[""As explained above ( II-II:101:1 and II-II:101:3 ; Article 80 ), according to the various excellences of those persons to whom something is due, there must needs be a corresponding distinction of virtues in a descending order. Now just as a carnal father partak"", ""Something may be paid to persons in positions of dignity in two ways. First, in relation to the common good , as when one serves them in the administration of the affairs of the state. This no longer belongs to obser""]",excellence,reviewed_doctrinal
edge.concept.observance.has_act.concept.honor,concept.observance,Observance,virtue,has_act,concept.honor,Honor,act_type,"[""ann.concept-observance-has-act-concept-honor-st-ii-ii-q102-a002-resp""]","[""st.ii-ii.q102.a002.resp""]","[""explicit_textual""]","[""r with a certain power over subjects: secondly, as regards the exercise of his government. On respect of his excellence there is due to him honor , which is the recognition of some kind of excellence; and in respect of the exercise of his government, there is due to him worship, consisting in rendering h""]",excellence,reviewed_doctrinal
edge.concept.observance.has_act.concept.service,concept.observance,Observance,virtue,has_act,concept.service,Service,act_type,"[""ann.concept-observance-has-act-concept-service-st-ii-ii-q102-a002-resp""]","[""st.ii-ii.q102.a002.resp""]","[""explicit_textual""]","[""e to him honor , which is the recognition of some kind of excellence; and in respect of the exercise of his government, there is due to him worship, consisting in rendering him service, by obeying his commands, and by repaying him, according to one's faculty, for the benefits we received from him.""]",excellence,reviewed_doctrinal
edge.concept.observance.owed_to_role.concept.person_in_dignity_role,concept.observance,Observance,virtue,owed_to_role,concept.person_in_dignity_role,Person in Dignity,role,"[""ann.concept-observance-owed-to-role-concept-person-in-dignity-role-st-ii-ii-q102-a001-resp""]","[""st.ii-ii.q102.a001.resp""]","[""explicit_textual""]","[""we find piety, whereby we worship our parents, so under piety we find observance, whereby worship and honor are paid to persons in positions of dignity.""]",excellence,reviewed_doctrinal
edge.concept.piety.annexed_to.concept.justice,concept.piety,Piety,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-piety-annexed-to-concept-justice-st-ii-ii-q101-a003-resp""]","[""st.ii-ii.q101.a003.resp""]","[""strong_textual_inference""]","[""a special aspect. Since, then, the nature of justice consists in rendering another person his due, wherever there is a special aspect of something due to a person , there is a special virtue . Now a thing is indebted in a special way to that which is its connatural principle of being and government. And piety""]",origin,reviewed_doctrinal
edge.concept.piety.concerns_due_to.concept.origin_related_due,concept.piety,Piety,virtue,concerns_due_to,concept.origin_related_due,Origin-Related Due,doctrine,"[""ann.concept-piety-concerns-due-to-concept-origin-related-due-st-ii-ii-q101-a001-resp"", ""ann.concept-piety-concerns-due-to-concept-origin-related-due-st-ii-ii-q101-a003-resp""]","[""st.ii-ii.q101.a001.resp"", ""st.ii-ii.q101.a003.resp""]","[""explicit_textual""]","[""ace, for He is supremely excellent, and is for us the first principle of being and government. On the second place, the principles of our being and government are our parents and our country, that have given us birth and nourishment. Consequently man is debtor chiefly to his parents and his country, after God . Where"", ""a special aspect. Since, then, the nature of justice consists in rendering another person his due, wherever there is a special aspect of something due to a person , there is a special virtue . Now a thing is indebted in a special way to that which is its connatural principle of being and government. And piety""]",origin,reviewed_doctrinal
edge.concept.piety.directed_to.concept.country,concept.piety,Piety,virtue,directed_to,concept.country,Country,object,"[""ann.concept-piety-directed-to-concept-country-st-ii-ii-q101-a001-resp""]","[""st.ii-ii.q101.a001.resp""]","[""explicit_textual""]","[""for us the first principle of being and government. On the second place, the principles of our being and government are our parents and our country, that have given us birth and nourishment. Consequently man is debtor chiefly to his parents and his country, after God . Wherefore just as it belongs to relig""]",origin,reviewed_doctrinal
edge.concept.piety.has_act.concept.honor,concept.piety,Piety,virtue,has_act,concept.honor,Honor,act_type,"[""ann.concept-piety-has-act-concept-honor-st-ii-ii-q101-a002-resp""]","[""st.ii-ii.q101.a002.resp""]","[""explicit_textual""]","[""nstance, all of which come under the head of service due. Hence Tully says (De Invent. Rhet. ii) that \""piety gives both duty and homage\"": \"" duty \"" referring to service, and \""homage\"" to reverence or honor , because, as Augustine says (De Civ. Dei x), \""we are said to give homage to those whose me""]",origin,reviewed_doctrinal
edge.concept.piety.has_act.concept.service,concept.piety,Piety,virtue,has_act,concept.service,Service,act_type,"[""ann.concept-piety-has-act-concept-service-st-ii-ii-q101-a002-resp""]","[""st.ii-ii.q101.a002.resp""]","[""explicit_textual""]","[""he be poor, it is fitting that they should support him; and so on in like instance, all of which come under the head of service due. Hence Tully says (De Invent. Rhet. ii) that \""piety gives both duty and homage\"": \"" duty \"" referring to service, and \""homage\"" to reverence or honor , because, a""]",origin,reviewed_doctrinal
edge.concept.piety.owed_to_role.concept.parent_role,concept.piety,Piety,virtue,owed_to_role,concept.parent_role,Parent Role,role,"[""ann.concept-piety-owed-to-role-concept-parent-role-st-ii-ii-q101-a001-resp"", ""ann.concept-piety-owed-to-role-concept-parent-role-st-ii-ii-q101-a002-resp""]","[""st.ii-ii.q101.a001.resp"", ""st.ii-ii.q101.a002.resp""]","[""explicit_textual""]","[""our being and government are our parents and our country, that have given us birth and nourishment. Consequently man is debtor chiefly to his parents and his country, after God . Wherefore just as it belongs to religion to give worship to God , so does it belong to piety, in the second place, to give worship"", ""to our parents in two ways: that is to say, both essentially , and accidentally . We owe them essentially that which is due to a father as such: and since he is his son's superior through being the principle of his being, the latter owes him reverence and service. Accidentally, that is due to a father,""]",origin,reviewed_doctrinal
edge.concept.vengeance.annexed_to.concept.justice,concept.vengeance,Vengeance,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-vengeance-annexed-to-concept-justice-st-ii-ii-q108-a002-resp""]","[""st.ii-ii.q108.a002.resp""]","[""strong_textual_inference""]","[""e same as St. Thomas gives in the parenthesis] \""(i.e. derogatory), either by self-defense or by avenging it.\"" Therefore vengeance is a special virtue .""]",rectificatory,reviewed_doctrinal
edge.concept.vengeance.concerns_due_to.concept.rectificatory_due,concept.vengeance,Vengeance,virtue,concerns_due_to,concept.rectificatory_due,Rectificatory Due,doctrine,"[""ann.concept-vengeance-concerns-due-to-concept-rectificatory-due-st-ii-ii-q108-a001-resp"", ""ann.concept-vengeance-concerns-due-to-concept-rectificatory-due-st-ii-ii-q108-a002-resp""]","[""st.ii-ii.q108.a001.resp"", ""st.ii-ii.q108.a002.resp""]","[""explicit_textual""]","[""Vengeance consists in the infliction of a penal evil on one who has sinned . Accordingly, in the matter of vengeance, we must consider the mind of the avenger. For if his intention is directed chiefly to the evil"", ""inct from the concupiscible. Man resists harm by defending himself against wrongs, lest they be inflicted on him, or he avenges those which have already been inflicted on him, with the intention , not of harming, but of removing the harm done. And this belongs to vengeance, for Tully says (De Invent. Rhet. ii) that by \""vengea""]",rectificatory,reviewed_doctrinal
edge.concept.vengeance.directed_to.concept.rectification,concept.vengeance,Vengeance,virtue,directed_to,concept.rectification,Rectification,doctrine,"[""ann.concept-vengeance-directed-to-concept-rectification-st-ii-ii-q108-a001-resp"", ""ann.concept-vengeance-directed-to-concept-rectification-st-ii-ii-q108-a004-resp""]","[""st.ii-ii.q108.a001.resp"", ""st.ii-ii.q108.a004.resp""]","[""explicit_textual""]","[""be directed chiefly to some good , to be obtained by means of the punishment of the person who has sinned (for instance that the sinner may amend, or at least that he may be restrained and others be not disturbed, that justice may be upheld, and God honored ), then vengeance may be lawful, provided other"", ""under the aspect of punishment, and in this way punishment is not due save for sin , because by means of punishment the equality of justice is restored, in so far as he who by sinning has exceeded in following his own will suffers something that is contrary to this will. Wherefore, since every sin is voluntary""]",rectificatory,reviewed_doctrinal
edge.concept.vengeance.has_act.concept.punishment,concept.vengeance,Vengeance,virtue,has_act,concept.punishment,Punishment,act_type,"[""ann.concept-vengeance-has-act-concept-punishment-st-ii-ii-q108-a001-resp"", ""ann.concept-vengeance-has-act-concept-punishment-st-ii-ii-q108-a004-resp""]","[""st.ii-ii.q108.a001.resp"", ""st.ii-ii.q108.a004.resp""]","[""explicit_textual""]","[""Vengeance consists in the infliction of a penal evil on one who has sinned . Accordingly, in the matter of vengeance, we must consider the mind of the avenger. For if his intention is directed chiefly to the evil"", ""Punishment may be considered in two ways. First, under the aspect of punishment, and in this way punishment is not due save for sin , because by means of punishment the equality of justice""]",rectificatory,reviewed_doctrinal
edge.concept.vengeance.rectifies_wrong.concept.prior_wrong,concept.vengeance,Vengeance,virtue,rectifies_wrong,concept.prior_wrong,Prior Wrong,wrong_act,"[""ann.concept-vengeance-rectifies-wrong-concept-prior-wrong-st-ii-ii-q108-a001-resp"", ""ann.concept-vengeance-rectifies-wrong-concept-prior-wrong-st-ii-ii-q108-a002-resp"", ""ann.concept-vengeance-rectifies-wrong-concept-prior-wrong-st-ii-ii-q108-a004-resp""]","[""st.ii-ii.q108.a001.resp"", ""st.ii-ii.q108.a002.resp"", ""st.ii-ii.q108.a004.resp""]","[""explicit_textual""]","[""Vengeance consists in the infliction of a penal evil on one who has sinned . Accordingly, in the matter of vengeance, we must consider the mind of the avenger. For if his intention is directed chiefly to the evil of the person on whom"", ""icted on him, or he avenges those which have already been inflicted on him, with the intention , not of harming, but of removing the harm done. And this belongs to vengeance, for Tully says (De Invent. Rhet. ii) that by \""vengeance we resist force, or wrong, and in general whatever is obscure\"" ['Obscur"", ""Punishment may be considered in two ways. First, under the aspect of punishment, and in this way punishment is not due save for sin , because by means of punishment the equality of justice is restored, in so far as he who by sinning has exceeded in following his own will suffers something t""]",rectificatory,reviewed_doctrinal
