edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,part_taxonomy
edge.concept.guile.caused_by.concept.craftiness,concept.guile,Guile,vice,caused_by,concept.craftiness,Craftiness,vice,['ann.st-ii-ii-q055-a004-resp-concept-guile-caused-by-concept-craftiness'],['st.ii-ii.q055.a004.resp'],['strong_textual_inference'],"['Hence guile denotes a certain execution of craftiness, and accordingly belongs thereto.']",reviewed_doctrinal,
edge.concept.guile.treated_in.st.ii-ii.q055.a004,concept.guile,Guile,vice,treated_in,st.ii-ii.q055.a004,II-II q.55 a.4 — Guile,article,['ann.st-ii-ii-q055-a004-resp-concept-guile-treated-in-st-ii-ii-q055-a004'],['st.ii-ii.q055.a004.resp'],['explicit_textual'],"['Secondly the adopting of such like ways may be considered with regard to their actual execution, and in this way it belongs to guile']",reviewed_doctrinal,
edge.concept.guile.treated_in.st.ii-ii.q055.a008,concept.guile,Guile,vice,treated_in,st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,['ann.st-ii-ii-q055-a008-resp-concept-guile-treated-in-st-ii-ii-q055-a008'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],"['II-II:47:13 ), carnal prudence and craftiness, as well as guile and fraud , bear a certain resemblance to prudence in some kind of use of the reason']",reviewed_doctrinal,
edge.concept.imprudence.opposed_by.concept.prudence,concept.imprudence,Imprudence,vice,opposed_by,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q053-a001-resp-concept-imprudence-opposed-by-concept-prudence'],['st.ii-ii.q053.a001.resp'],['strong_textual_inference'],"[""Taken as a privation, imprudence denotes lack of that prudence which a man can and ought to have, and in this sense imprudence is a sin by reason of a man's negligence in striving to have prudence""]",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a001,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a001,II-II q.53 a.1 — Is imprudence a sin?,article,['ann.st-ii-ii-q053-a001-resp-concept-imprudence-treated-in-st-ii-ii-q053-a001'],['st.ii-ii.q053.a001.resp'],['explicit_textual'],"['Imprudence may be taken in two ways, first, as a privation, secondly, as a contrary']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a002,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a002,II-II q.53 a.2 — Is it a special sin?,article,['ann.st-ii-ii-q053-a002-resp-concept-imprudence-treated-in-st-ii-ii-q053-a002'],['st.ii-ii.q053.a002.resp'],['explicit_textual'],"['On the first way, a vice may be said to be general on two counts: first, essentially , because it is predicated of all sins : and in this way imprudence is not a general sin , as neither is prudence a general virtue : since it is concerned with special acts, namely the very acts of reason: secondly, by participation']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a003,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a003,II-II q.53 a.3 — Precipitation or temerity,article,['ann.st-ii-ii-q053-a003-resp-concept-imprudence-treated-in-st-ii-ii-q053-a003'],['st.ii-ii.q053.a003.resp'],['explicit_textual'],"['Since then inordinate counsel pertains to imprudence, it is evident that the vice of precipitation is contained under imprudence.']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a004,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a004,II-II q.53 a.4 — Thoughtlessness,article,['ann.st-ii-ii-q053-a004-resp-concept-imprudence-treated-in-st-ii-ii-q053-a004'],['st.ii-ii.q053.a004.resp'],['strong_textual_inference'],"['Thought signifies the act of the intellect in considering the truth about. something. Now just as research belongs to the reason, so judgment belongs to the intellect . Wherefore in speculative matters a demonstrative science is said to exercise judgment, in s']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a005,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a005,II-II q.53 a.5 — Inconstancy,article,['ann.st-ii-ii-q053-a005-resp-concept-imprudence-treated-in-st-ii-ii-q053-a005'],['st.ii-ii.q053.a005.resp'],['explicit_textual'],"['Now just as all rectitude of the practical reason belongs in some degree to prudence , so all lack of that rectitude belongs to imprudence']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a006,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a006,II-II q.53 a.6 — The origin of these vices,article,['ann.st-ii-ii-q053-a006-resp-concept-imprudence-treated-in-st-ii-ii-q053-a006'],['st.ii-ii.q053.a006.resp'],['strong_textual_inference'],"['As the Philosopher states (Ethic. vi, 5) ""pleasure above all corrupts the estimate of prudence ,"" and chiefly sexual pleasure which absorbs the mind , and draws it to sensible delight. Now the perfection of prudence and of every intellectual virtue consists in']",reviewed_doctrinal,
edge.concept.inconstancy.caused_by.concept.lust,concept.inconstancy,Inconstancy,defect,caused_by,concept.lust,Lust,vice,['ann.st-ii-ii-q053-a006-resp-concept-inconstancy-caused-by-concept-lust'],['st.ii-ii.q053.a006.resp'],['explicit_textual'],"['Wherefore, since the aforesaid vices involve a defect of prudence and of the practical reason, as stated above (Articles 2 and 5 ), it follows that they arise chiefly from lust .']",reviewed_doctrinal,
edge.concept.inconstancy.contrary_to.concept.command,concept.inconstancy,Inconstancy,defect,contrary_to,concept.command,Command,act,['ann.st-ii-ii-q053-a005-resp-concept-inconstancy-contrary-to-concept-command'],['st.ii-ii.q053.a005.resp'],['explicit_textual'],"['And just as precipitation is due to a defect in the act of counsel, and thoughtlessness to a defect in the act of judgment, so inconstancy arises from a defect in the act of command']",reviewed_doctrinal,
edge.concept.inconstancy.species_of.concept.imprudence,concept.inconstancy,Inconstancy,defect,species_of,concept.imprudence,Imprudence,vice,['ann.st-ii-ii-q053-a005-resp-concept-inconstancy-species-of-concept-imprudence'],['st.ii-ii.q053.a005.resp'],['explicit_textual'],"['Now just as all rectitude of the practical reason belongs in some degree to prudence , so all lack of that rectitude belongs to imprudence']",reviewed_doctrinal,
edge.concept.inconstancy.treated_in.st.ii-ii.q053.a005,concept.inconstancy,Inconstancy,defect,treated_in,st.ii-ii.q053.a005,II-II q.53 a.5 — Inconstancy,article,['ann.st-ii-ii-q053-a005-resp-concept-inconstancy-treated-in-st-ii-ii-q053-a005'],['st.ii-ii.q053.a005.resp'],['explicit_textual'],['Inconstancy denotes withdrawal from a definite good purpose'],reviewed_doctrinal,
edge.concept.intelligence.integral_part_of.concept.prudence,concept.intelligence,Understanding or Intelligence,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-intelligence-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['For the ""sense"" of prudence is also called ""understanding"": wherefore the Philosopher says (Ethic']",reviewed_doctrinal,integral
edge.concept.intelligence.treated_in.st.ii-ii.q048.a001,concept.intelligence,Understanding or Intelligence,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-intelligence-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['For the ""sense"" of prudence is also called ""understanding"": wherefore the Philosopher says (Ethic']",reviewed_doctrinal,
edge.concept.intelligence.treated_in.st.ii-ii.q049.a002,concept.intelligence,Understanding or Intelligence,prudence_part,treated_in,st.ii-ii.q049.a002,II-II q.49 a.2 — Understanding or Intelligence,article,['ann.st-ii-ii-q049-a002-resp-concept-intelligence-treated-in-st-ii-ii-q049-a002'],['st.ii-ii.q049.a002.resp'],['explicit_textual'],"['Understanding denotes here, not the intellectual power, but the right estimate about some final principle, which is taken as self-evident: thus we are said to understand the first principles of demonstrations']",reviewed_doctrinal,
edge.concept.lust.treated_in.st.ii-ii.q053.a006,concept.lust,Lust,vice,treated_in,st.ii-ii.q053.a006,II-II q.53 a.6 — The origin of these vices,article,['ann.st-ii-ii-q053-a006-resp-concept-lust-treated-in-st-ii-ii-q053-a006'],['st.ii-ii.q053.a006.resp'],['explicit_textual'],"['Wherefore, since the aforesaid vices involve a defect of prudence and of the practical reason, as stated above (Articles 2 and 5 ), it follows that they arise chiefly from lust .']",reviewed_doctrinal,
edge.concept.memory.integral_part_of.concept.prudence,concept.memory,Memory,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-memory-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['"" memory "" mentioned by Tully']",reviewed_doctrinal,integral
edge.concept.memory.treated_in.st.ii-ii.q048.a001,concept.memory,Memory,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-memory-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['"" memory "" mentioned by Tully']",reviewed_doctrinal,
edge.concept.memory.treated_in.st.ii-ii.q049.a001,concept.memory,Memory,prudence_part,treated_in,st.ii-ii.q049.a001,II-II q.49 a.1 — Memory,article,['ann.st-ii-ii-q049-a001-resp-concept-memory-treated-in-st-ii-ii-q049-a001'],['st.ii-ii.q049.a001.resp'],['explicit_textual'],"['i, 1, and therefore prudence requires the memory of many things']",reviewed_doctrinal,
edge.concept.mercy_beatitude.treated_in.st.ii-ii.q052.a004,concept.mercy_beatitude,Beatitude of Mercy,beatitude,treated_in,st.ii-ii.q052.a004,"II-II q.52 a.4 — Does the fifth beatitude, ""Blessed are the merciful,"" etc. correspond to the gift of counsel?",article,['ann.st-ii-ii-q052-a004-resp-concept-mercy-beatitude-treated-in-st-ii-ii-q052-a004'],['st.ii-ii.q052.a004.resp'],['explicit_textual'],"['Now such is mercy, according to 1 Timothy 4:8 , "" Godliness [\'Pietas,\' which our English word \'pity,\' which is the same as mercy']",reviewed_doctrinal,
edge.concept.military_prudence.subjective_part_of.concept.prudence,concept.military_prudence,Military Prudence,prudence_part,subjective_part_of,concept.prudence,Prudence,virtue,"['ann.st-ii-ii-q048-a001-resp-concept-military-prudence-subjective-part-of-concept-prudence', 'ann.st-ii-ii-q050-a004-resp-concept-military-prudence-subjective-part-of-concept-prudence']","['st.ii-ii.q048.a001.resp', 'st.ii-ii.q050.a004.resp']",['explicit_textual'],"['thus an army is gathered together to fight, and the prudence that governs this is called ""military."" There is also the multitude that is united together for the whole of life', 'Therefore in those things also which are in accordance with reason, there should be not only ""political"" prudence , which disposes in a suitable manner such things as belong to the common good , but also a ""military"" prudence , whereby hostile attacks are repelled.']",reviewed_doctrinal,subjective
edge.concept.military_prudence.treated_in.st.ii-ii.q048.a001,concept.military_prudence,Military Prudence,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-military-prudence-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['thus an army is gathered together to fight, and the prudence that governs this is called ""military."" There is also the multitude that is united together for the whole of life']",reviewed_doctrinal,
edge.concept.military_prudence.treated_in.st.ii-ii.q050.a004,concept.military_prudence,Military Prudence,prudence_part,treated_in,st.ii-ii.q050.a004,II-II q.50 a.4 — Is military prudence?,article,['ann.st-ii-ii-q050-a004-resp-concept-military-prudence-treated-in-st-ii-ii-q050-a004'],['st.ii-ii.q050.a004.resp'],['explicit_textual'],"['Therefore in those things also which are in accordance with reason, there should be not only ""political"" prudence , which disposes in a suitable manner such things as belong to the common good , but also a ""military"" prudence , whereby hostile attacks are repelled.']",reviewed_doctrinal,
edge.concept.negligence.contrary_to.concept.solicitude,concept.negligence,Negligence,defect,contrary_to,concept.solicitude,Solicitude,act,['ann.st-ii-ii-q054-a002-resp-concept-negligence-contrary-to-concept-solicitude'],['st.ii-ii.q054.a002.resp'],['explicit_textual'],['Negligence is directly opposed to solicitude'],reviewed_doctrinal,
edge.concept.negligence.species_of.concept.imprudence,concept.negligence,Negligence,defect,species_of,concept.imprudence,Imprudence,vice,['ann.st-ii-ii-q054-a002-resp-concept-negligence-species-of-concept-imprudence'],['st.ii-ii.q054.a002.resp'],['explicit_textual'],"['Hence, on the other hand, negligence pertains to imprudence']",reviewed_doctrinal,
edge.concept.negligence.treated_in.st.ii-ii.q054.a001,concept.negligence,Negligence,defect,treated_in,st.ii-ii.q054.a001,II-II q.54 a.1 — Is negligence a special sin?,article,['ann.st-ii-ii-q054-a001-resp-concept-negligence-treated-in-st-ii-ii-q054-a001'],['st.ii-ii.q054.a001.resp'],['explicit_textual'],['Negligence denotes lack of due solicitude'],reviewed_doctrinal,
edge.concept.negligence.treated_in.st.ii-ii.q054.a002,concept.negligence,Negligence,defect,treated_in,st.ii-ii.q054.a002,II-II q.54 a.2 — To which virtue is it opposed?,article,['ann.st-ii-ii-q054-a002-resp-concept-negligence-treated-in-st-ii-ii-q054-a002'],['st.ii-ii.q054.a002.resp'],['explicit_textual'],['Negligence is directly opposed to solicitude'],reviewed_doctrinal,
edge.concept.negligence.treated_in.st.ii-ii.q054.a003,concept.negligence,Negligence,defect,treated_in,st.ii-ii.q054.a003,II-II q.54 a.3 — Is negligence a mortal sin?,article,['ann.st-ii-ii-q054-a003-resp-concept-negligence-treated-in-st-ii-ii-q054-a003'],['st.ii-ii.q054.a003.resp'],['explicit_textual'],"['As stated above ( Article 2, Reply to Objection 3 ), negligence arises out of a certain remissness of the will , the result being a lack of solicitude on the part of the reason in commanding what it should command, or as it should command']",reviewed_doctrinal,
edge.concept.political_prudence.subjective_part_of.concept.prudence,concept.political_prudence,Political Prudence,prudence_part,subjective_part_of,concept.prudence,Prudence,virtue,"['ann.st-ii-ii-q048-a001-resp-concept-political-prudence-subjective-part-of-concept-prudence', 'ann.st-ii-ii-q050-a002-resp-concept-political-prudence-subjective-part-of-concept-prudence']","['st.ii-ii.q048.a001.resp', 'st.ii-ii.q050.a002.resp']",['explicit_textual'],"['such is the multitude of a home or family , and this is ruled by ""domestic prudence "": and such again is the multitude of a city or kingdom, the ruling principle of which is ""regnative prudence "" in the ruler, and ""political prudence ,"" simply so called, in the subjects', 'and to this belongs that species of prudence which is called political.']",reviewed_doctrinal,subjective
edge.concept.political_prudence.treated_in.st.ii-ii.q048.a001,concept.political_prudence,Political Prudence,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-political-prudence-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['such is the multitude of a home or family , and this is ruled by ""domestic prudence "": and such again is the multitude of a city or kingdom, the ruling principle of which is ""regnative prudence "" in the ruler, and ""political prudence ,"" simply so called, in the subjects']",reviewed_doctrinal,
edge.concept.political_prudence.treated_in.st.ii-ii.q050.a002,concept.political_prudence,Political Prudence,prudence_part,treated_in,st.ii-ii.q050.a002,II-II q.50 a.2 — Is political economy a species of prudence?,article,['ann.st-ii-ii-q050-a002-resp-concept-political-prudence-treated-in-st-ii-ii-q050-a002'],['st.ii-ii.q050.a002.resp'],['explicit_textual'],['and to this belongs that species of prudence which is called political.'],reviewed_doctrinal,
edge.concept.practical_reason.treated_in.st.ii-ii.q047.a002,concept.practical_reason,Practical Reason,faculty,treated_in,st.ii-ii.q047.a002,"II-II q.47 a.2 — If in the reason, is it only in the practical, or also in the speculative reason?",article,['ann.st-ii-ii-q047-a002-resp-concept-practical-reason-treated-in-st-ii-ii-q047-a002'],['st.ii-ii.q047.a002.resp'],['explicit_textual'],"['vi, 5) ""a prudent man is one who is capable of taking good counsel."" Now counsel is about things that we have to do in relation to some end: and the reason that deals with things to be done for an end is the practical reason']",reviewed_doctrinal,
edge.concept.precipitation.caused_by.concept.lust,concept.precipitation,Precipitation or Temerity,defect,caused_by,concept.lust,Lust,vice,['ann.st-ii-ii-q053-a006-resp-concept-precipitation-caused-by-concept-lust'],['st.ii-ii.q053.a006.resp'],['explicit_textual'],"['Wherefore, since the aforesaid vices involve a defect of prudence and of the practical reason, as stated above (Articles 2 and 5 ), it follows that they arise chiefly from lust .']",reviewed_doctrinal,
edge.concept.precipitation.species_of.concept.imprudence,concept.precipitation,Precipitation or Temerity,defect,species_of,concept.imprudence,Imprudence,vice,['ann.st-ii-ii-q053-a003-resp-concept-precipitation-species-of-concept-imprudence'],['st.ii-ii.q053.a003.resp'],['explicit_textual'],"['Since then inordinate counsel pertains to imprudence, it is evident that the vice of precipitation is contained under imprudence.']",reviewed_doctrinal,
edge.concept.precipitation.treated_in.st.ii-ii.q053.a003,concept.precipitation,Precipitation or Temerity,defect,treated_in,st.ii-ii.q053.a003,II-II q.53 a.3 — Precipitation or temerity,article,['ann.st-ii-ii-q053-a003-resp-concept-precipitation-treated-in-st-ii-ii-q053-a003'],['st.ii-ii.q053.a003.resp'],['explicit_textual'],"['Precipitation is ascribed metaphorically to acts of the soul , by way of similitude to bodily movement']",reviewed_doctrinal,
edge.concept.prudence.directed_to.concept.common_good,concept.prudence,Prudence,virtue,directed_to,concept.common_good,Common Good,end,['ann.st-ii-ii-q047-a010-resp-concept-prudence-directed-to-concept-common-good'],['st.ii-ii.q047.a010.resp'],['explicit_textual'],"['vi, 8) some have held that prudence does not extend to the common good , but only to the good of the individual , and this because they thought that man is not bound to seek other than his own good']",reviewed_doctrinal,
edge.concept.prudence.has_act.concept.command,concept.prudence,Prudence,virtue,has_act,concept.command,Command,act,['ann.st-ii-ii-q047-a008-resp-concept-prudence-has-act-concept-command'],['st.ii-ii.q047.a008.resp'],['explicit_textual'],['Hence that which is the chief act of reason in regard to action must needs be the chief act of prudence'],reviewed_doctrinal,
edge.concept.prudence.has_act.concept.solicitude,concept.prudence,Prudence,virtue,has_act,concept.solicitude,Solicitude,act,['ann.st-ii-ii-q047-a009-resp-concept-prudence-has-act-concept-solicitude'],['st.ii-ii.q047.a009.resp'],['explicit_textual'],"['Now this belongs to prudence , whose chief act is a command about what has been already counselled and judged in matters of action']",reviewed_doctrinal,
edge.concept.prudence.perfected_by.concept.counsel_gift,concept.prudence,Prudence,virtue,perfected_by,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,['ann.st-ii-ii-q052-a002-resp-concept-prudence-perfected-by-concept-counsel-gift'],['st.ii-ii.q052.a002.resp'],['explicit_textual'],"['Consequently prudence , which denotes rectitude of reason , is chiefly perfected and helped through being ruled and moved by the Holy Ghost , and this belongs to the gift of counsel, as stated above ( Article 1 )']",reviewed_doctrinal,
edge.concept.prudence.resides_in.concept.practical_reason,concept.prudence,Prudence,virtue,resides_in,concept.practical_reason,Practical Reason,faculty,['ann.st-ii-ii-q047-a002-resp-concept-prudence-resides-in-concept-practical-reason'],['st.ii-ii.q047.a002.resp'],['explicit_textual'],['Hence it is evident that prudence resides only in the practical reason.'],reviewed_doctrinal,
edge.concept.prudence.resides_in.concept.reason_faculty,concept.prudence,Prudence,virtue,resides_in,concept.reason_faculty,Reason,faculty,['ann.st-ii-ii-q047-a001-resp-concept-prudence-resides-in-concept-reason-faculty'],['st.ii-ii.q047.a001.resp'],['strong_textual_inference'],"['Wherefore it is manifest that prudence belongs directly to the cognitive, and not to the sensitive faculty, because by the latter we know nothing but what is within reach and offers itself to the senses: while to obtain knowledge of the future from knowledge of the present or past, which pertains to prudence , belongs properly to the reason, because this is done by a process of comparison']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a001,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a001,II-II q.47 a.1 — Is prudence in the will or in the reason?,article,['ann.st-ii-ii-q047-a001-resp-concept-prudence-treated-in-st-ii-ii-q047-a001'],['st.ii-ii.q047.a001.resp'],['explicit_textual'],"['Wherefore it is manifest that prudence belongs directly to the cognitive, and not to the sensitive faculty, because by the latter we know nothing but what is within reach and offers itself to the senses: while to obtain knowledge of the future from knowledge of the present or past, which pertains to prudence , belongs properly to the reason, because this is done by a process of comparison']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a002,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a002,"II-II q.47 a.2 — If in the reason, is it only in the practical, or also in the speculative reason?",article,['ann.st-ii-ii-q047-a002-resp-concept-prudence-treated-in-st-ii-ii-q047-a002'],['st.ii-ii.q047.a002.resp'],['explicit_textual'],['Hence it is evident that prudence resides only in the practical reason.'],reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a003,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a003,II-II q.47 a.3 — Does it take cognizance of singulars?,article,['ann.st-ii-ii-q047-a003-resp-concept-prudence-treated-in-st-ii-ii-q047-a003'],['st.ii-ii.q047.a003.resp'],['explicit_textual'],"['As stated above ( Article 1, Reply to Objection 3 ), to prudence belongs not only the consideration of the reason, but also the application to action, which is the end of the practical reason']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a004,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a004,II-II q.47 a.4 — Is it virtue?,article,['ann.st-ii-ii-q047-a004-resp-concept-prudence-treated-in-st-ii-ii-q047-a004'],['st.ii-ii.q047.a004.resp'],['explicit_textual'],"['Now it belongs to prudence , as stated above ( Article 1, Reply to Objection 3']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a005,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a005,II-II q.47 a.5 — Is it a special virtue?,article,['ann.st-ii-ii-q047-a005-resp-concept-prudence-treated-in-st-ii-ii-q047-a005'],['st.ii-ii.q047.a005.resp'],['explicit_textual'],"['Accordingly we must say that since prudence is in the reason, as stated above ( Article 2 ), it is differentiated from the other intellectual virtues by a material difference of objects']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a006,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a006,II-II q.47 a.6 — Does it appoint the end to the moral virtues?,article,['ann.st-ii-ii-q047-a006-resp-concept-prudence-treated-in-st-ii-ii-q047-a006'],['st.ii-ii.q047.a006.resp'],['explicit_textual'],"['About these is prudence , which applies universal principles to the particular conclusions of practical matters']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a007,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a007,II-II q.47 a.7 — Does it fix the mean in the moral virtues?,article,['ann.st-ii-ii-q047-a007-resp-concept-prudence-treated-in-st-ii-ii-q047-a007'],['st.ii-ii.q047.a007.resp'],['explicit_textual'],['But it belongs to the ruling of prudence to decide in what manner and by what means man shall obtain the mean of reason in his deeds'],reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a008,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a008,II-II q.47 a.8 — Is its proper act command?,article,['ann.st-ii-ii-q047-a008-resp-concept-prudence-treated-in-st-ii-ii-q047-a008'],['st.ii-ii.q047.a008.resp'],['explicit_textual'],"['Prudence is ""right reason applied to action,"" as stated above ( Article 2 )']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a009,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a009,II-II q.47 a.9 — Does solicitude or watchfulness belong to prudence?,article,['ann.st-ii-ii-q047-a009-resp-concept-prudence-treated-in-st-ii-ii-q047-a009'],['st.ii-ii.q047.a009.resp'],['explicit_textual'],"['Now this belongs to prudence , whose chief act is a command about what has been already counselled and judged in matters of action']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a010,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a010,II-II q.47 a.10 — Does prudence extend to the governing of many?,article,['ann.st-ii-ii-q047-a010-resp-concept-prudence-treated-in-st-ii-ii-q047-a010'],['st.ii-ii.q047.a010.resp'],['explicit_textual'],"['vi, 8) some have held that prudence does not extend to the common good , but only to the good of the individual , and this because they thought that man is not bound to seek other than his own good']",reviewed_doctrinal,
edge.concept.prudence.treated_in.st.ii-ii.q047.a011,concept.prudence,Prudence,virtue,treated_in,st.ii-ii.q047.a011,II-II q.47 a.11 — Is the prudence which regards private good the same in species as that which regards the common good?,article,['ann.st-ii-ii-q047-a011-resp-concept-prudence-treated-in-st-ii-ii-q047-a011'],['st.ii-ii.q047.a011.resp'],['explicit_textual'],"['Wherefore there must needs be different species of prudence corresponding to these different ends, so that one is "" prudence "" simply so called, which is directed to one\'s own good']",reviewed_doctrinal,
