question_id,part_id,question_number,question_title,parse_status,expected_article_count,parsed_article_count,parsed_passage_count,warning_count,missing_article_numbers,source_url,excluded_reason
st.i-ii.q001,i-ii,1,Man's last end,partial,8,8,29,2,[],https://www.newadvent.org/summa/2001.htm,
st.i-ii.q002,i-ii,2,Things in which man's happiness consists,ok,8,8,32,0,[],https://www.newadvent.org/summa/2002.htm,
st.i-ii.q003,i-ii,3,What is happiness,ok,8,8,34,0,[],https://www.newadvent.org/summa/2003.htm,
st.i-ii.q004,i-ii,4,Things that are required for happiness,ok,8,8,34,0,[],https://www.newadvent.org/summa/2004.htm,
st.i-ii.q005,i-ii,5,The attainment of happiness,ok,8,8,31,0,[],https://www.newadvent.org/summa/2005.htm,
st.i-ii.q006,i-ii,6,The voluntary and the involuntary,partial,8,8,29,2,[],https://www.newadvent.org/summa/2006.htm,
st.i-ii.q007,i-ii,7,The circumstances of human acts,ok,4,4,16,0,[],https://www.newadvent.org/summa/2007.htm,
st.i-ii.q008,i-ii,8,"The will, in regard to what it wills",ok,3,3,12,0,[],https://www.newadvent.org/summa/2008.htm,
st.i-ii.q009,i-ii,9,That which moves the will,ok,6,6,24,0,[],https://www.newadvent.org/summa/2009.htm,
st.i-ii.q010,i-ii,10,The manner in which the will is moved,ok,4,4,16,0,[],https://www.newadvent.org/summa/2010.htm,
st.i-ii.q011,i-ii,11,Enjoyment which is an act of the will,ok,4,4,17,0,[],https://www.newadvent.org/summa/2011.htm,
st.i-ii.q012,i-ii,12,Intention,ok,5,5,21,0,[],https://www.newadvent.org/summa/2012.htm,
st.i-ii.q013,i-ii,13,"Choice, which is an act of the will with regard to the means",ok,6,6,23,0,[],https://www.newadvent.org/summa/2013.htm,
st.i-ii.q014,i-ii,14,"Counsel, which precedes choice",ok,6,6,24,0,[],https://www.newadvent.org/summa/2014.htm,
st.i-ii.q015,i-ii,15,"Consent, which is an act of the will in regard to the means",ok,4,4,16,0,[],https://www.newadvent.org/summa/2015.htm,
st.i-ii.q016,i-ii,16,"Use, which is an act of the will in regard to the means",ok,4,4,15,0,[],https://www.newadvent.org/summa/2016.htm,
st.i-ii.q017,i-ii,17,The acts commanded by the will,ok,9,9,35,0,[],https://www.newadvent.org/summa/2017.htm,
st.i-ii.q018,i-ii,18,"The good and evil of human acts, in general",ok,11,11,45,0,[],https://www.newadvent.org/summa/2018.htm,
st.i-ii.q019,i-ii,19,The goodness and malice of the interior act of the will,ok,10,10,37,0,[],https://www.newadvent.org/summa/2019.htm,
st.i-ii.q020,i-ii,20,Goodness and malice in external human affairs,ok,6,6,24,0,[],https://www.newadvent.org/summa/2020.htm,
st.i-ii.q021,i-ii,21,The consequences of human actions by reason of their goodness and malice,ok,4,4,16,0,[],https://www.newadvent.org/summa/2021.htm,
st.i-ii.q022,i-ii,22,The subject of the soul's passions,ok,3,3,12,0,[],https://www.newadvent.org/summa/2022.htm,
st.i-ii.q023,i-ii,23,How the passions differ from one another,partial,4,4,7,6,[],https://www.newadvent.org/summa/2023.htm,
st.i-ii.q024,i-ii,24,Good and evil in the passions of the soul,ok,4,4,15,0,[],https://www.newadvent.org/summa/2024.htm,
st.i-ii.q025,i-ii,25,The order of the passions to one another,ok,4,4,15,0,[],https://www.newadvent.org/summa/2025.htm,
st.i-ii.q026,i-ii,26,"The passions of the soul in particular: and first, of love",ok,4,4,16,0,[],https://www.newadvent.org/summa/2026.htm,
st.i-ii.q027,i-ii,27,The cause of love,ok,4,4,16,0,[],https://www.newadvent.org/summa/2027.htm,
st.i-ii.q028,i-ii,28,The effects of love,partial,6,6,21,2,[],https://www.newadvent.org/summa/2028.htm,
st.i-ii.q029,i-ii,29,Hatred,partial,6,6,19,2,[],https://www.newadvent.org/summa/2029.htm,
st.i-ii.q030,i-ii,30,Concupiscence,ok,4,4,16,0,[],https://www.newadvent.org/summa/2030.htm,
st.i-ii.q031,i-ii,31,Pleasure considered in itself,partial,8,8,29,2,[],https://www.newadvent.org/summa/2031.htm,
st.i-ii.q032,i-ii,32,The cause of pleasure,ok,8,8,32,0,[],https://www.newadvent.org/summa/2032.htm,
st.i-ii.q033,i-ii,33,The effects of pleasure,ok,4,4,15,0,[],https://www.newadvent.org/summa/2033.htm,
st.i-ii.q034,i-ii,34,The goodness and malice of pleasures,ok,4,4,16,0,[],https://www.newadvent.org/summa/2034.htm,
st.i-ii.q035,i-ii,35,"Pain or sorrow, in itself",ok,8,8,33,0,[],https://www.newadvent.org/summa/2035.htm,
st.i-ii.q036,i-ii,36,The causes of sorrow or pain,ok,4,4,16,0,[],https://www.newadvent.org/summa/2036.htm,
st.i-ii.q037,i-ii,37,The effects of pain or sorrow,partial,4,4,13,2,[],https://www.newadvent.org/summa/2037.htm,
st.i-ii.q038,i-ii,38,The remedies of sorrow or pain,ok,5,5,19,0,[],https://www.newadvent.org/summa/2038.htm,
st.i-ii.q039,i-ii,39,The goodness and malice of sorrow or pain,ok,4,4,14,0,[],https://www.newadvent.org/summa/2039.htm,
st.i-ii.q040,i-ii,40,"The irascible passions, and first, of hope and despair",partial,8,8,28,2,[],https://www.newadvent.org/summa/2040.htm,
st.i-ii.q041,i-ii,41,"Fear, in itself",partial,4,4,15,2,[],https://www.newadvent.org/summa/2041.htm,
st.i-ii.q042,i-ii,42,The object of fear,partial,6,6,22,2,[],https://www.newadvent.org/summa/2042.htm,
st.i-ii.q043,i-ii,43,The cause of fear,ok,2,2,8,0,[],https://www.newadvent.org/summa/2043.htm,
st.i-ii.q044,i-ii,44,The effects of fear,ok,4,4,13,0,[],https://www.newadvent.org/summa/2044.htm,
st.i-ii.q045,i-ii,45,Daring,ok,4,4,16,0,[],https://www.newadvent.org/summa/2045.htm,
st.i-ii.q046,i-ii,46,"Anger, in itself",partial,8,8,29,2,[],https://www.newadvent.org/summa/2046.htm,
st.i-ii.q047,i-ii,47,"The cause that provokes anger, and the remedies of anger",ok,4,4,15,0,[],https://www.newadvent.org/summa/2047.htm,
st.i-ii.q048,i-ii,48,The effects of anger,ok,4,4,15,0,[],https://www.newadvent.org/summa/2048.htm,
st.i-ii.q049,i-ii,49,"Habits in general, as to their substance",ok,4,4,15,0,[],https://www.newadvent.org/summa/2049.htm,
st.i-ii.q050,i-ii,50,The subject of habits,ok,6,6,24,0,[],https://www.newadvent.org/summa/2050.htm,
st.i-ii.q051,i-ii,51,"The cause of habits, as to their formation",partial,4,4,13,2,[],https://www.newadvent.org/summa/2051.htm,
st.i-ii.q052,i-ii,52,The increase of habits,partial,3,3,9,2,[],https://www.newadvent.org/summa/2052.htm,
st.i-ii.q053,i-ii,53,How habits are corrupted or diminished,ok,3,3,12,0,[],https://www.newadvent.org/summa/2053.htm,
st.i-ii.q054,i-ii,54,The distinction of habits,ok,4,4,16,0,[],https://www.newadvent.org/summa/2054.htm,
st.i-ii.q055,i-ii,55,"The virtues, as to their essence",ok,4,4,21,0,[],https://www.newadvent.org/summa/2055.htm,
st.i-ii.q056,i-ii,56,The subject of virtue,ok,6,6,24,0,[],https://www.newadvent.org/summa/2056.htm,
st.i-ii.q057,i-ii,57,The intellectual virtues,ok,6,6,25,0,[],https://www.newadvent.org/summa/2057.htm,
st.i-ii.q058,i-ii,58,The difference between moral and intellectual virtues,ok,5,5,20,0,[],https://www.newadvent.org/summa/2058.htm,
st.i-ii.q059,i-ii,59,Moral virtue in relation to the passions,ok,5,5,20,0,[],https://www.newadvent.org/summa/2059.htm,
st.i-ii.q060,i-ii,60,How the moral virtues differ from one another,partial,5,5,18,2,[],https://www.newadvent.org/summa/2060.htm,
st.i-ii.q061,i-ii,61,The cardinal virtues,partial,5,5,17,2,[],https://www.newadvent.org/summa/2061.htm,
st.i-ii.q062,i-ii,62,The theological virtues,ok,4,4,15,0,[],https://www.newadvent.org/summa/2062.htm,
st.i-ii.q063,i-ii,63,The cause of virtues,partial,4,4,12,2,[],https://www.newadvent.org/summa/2063.htm,
st.i-ii.q064,i-ii,64,The mean of virtue,partial,4,4,13,2,[],https://www.newadvent.org/summa/2064.htm,
st.i-ii.q065,i-ii,65,The connection of virtues,ok,5,5,20,0,[],https://www.newadvent.org/summa/2065.htm,
st.i-ii.q066,i-ii,66,Equality among the virtues,ok,6,6,24,0,[],https://www.newadvent.org/summa/2066.htm,
st.i-ii.q067,i-ii,67,The duration of virtues after this life,ok,6,6,22,0,[],https://www.newadvent.org/summa/2067.htm,
st.i-ii.q068,i-ii,68,The gifts,ok,8,8,36,0,[],https://www.newadvent.org/summa/2068.htm,
st.i-ii.q069,i-ii,69,The beatitudes,ok,4,4,19,0,[],https://www.newadvent.org/summa/2069.htm,
st.i-ii.q070,i-ii,70,The fruits of the Holy Ghost,ok,4,4,16,0,[],https://www.newadvent.org/summa/2070.htm,
st.i-ii.q071,i-ii,71,Vice and sin considered in themselves,ok,6,6,27,0,[],https://www.newadvent.org/summa/2071.htm,
st.i-ii.q072,i-ii,72,The distinction of sins,ok,9,9,36,0,[],https://www.newadvent.org/summa/2072.htm,
st.i-ii.q073,i-ii,73,The comparison of one sin with another,ok,10,10,40,0,[],https://www.newadvent.org/summa/2073.htm,
st.i-ii.q074,i-ii,74,The subject of sin,ok,10,10,42,0,[],https://www.newadvent.org/summa/2074.htm,
st.i-ii.q075,i-ii,75,"The causes of sin, in general",ok,4,4,16,0,[],https://www.newadvent.org/summa/2075.htm,
st.i-ii.q076,i-ii,76,"The causes of sin, in particular",ok,4,4,19,0,[],https://www.newadvent.org/summa/2076.htm,
st.i-ii.q077,i-ii,77,"The cause of sin, on the part of the sensitive appetite",ok,8,8,35,0,[],https://www.newadvent.org/summa/2077.htm,
st.i-ii.q078,i-ii,78,That cause of sin which is malice,ok,4,4,16,0,[],https://www.newadvent.org/summa/2078.htm,
st.i-ii.q079,i-ii,79,The external causes of sin,ok,4,4,18,0,[],https://www.newadvent.org/summa/2079.htm,
st.i-ii.q080,i-ii,80,"The cause of sin, as regards the devil",ok,4,4,15,0,[],https://www.newadvent.org/summa/2080.htm,
st.i-ii.q081,i-ii,81,"The cause of sin, on the part of man",ok,5,5,22,0,[],https://www.newadvent.org/summa/2081.htm,
st.i-ii.q082,i-ii,82,"Original sin, as to its essence",ok,4,4,16,0,[],https://www.newadvent.org/summa/2082.htm,
st.i-ii.q083,i-ii,83,The subject of original sin,ok,4,4,19,0,[],https://www.newadvent.org/summa/2083.htm,
st.i-ii.q084,i-ii,84,"The cause of sin, in respect of one sin being the cause of another",ok,4,4,17,0,[],https://www.newadvent.org/summa/2084.htm,
st.i-ii.q085,i-ii,85,"The effects of sin, and, first, of the corruption of the good of nature",partial,6,6,22,2,[],https://www.newadvent.org/summa/2085.htm,
st.i-ii.q086,i-ii,86,The stain of sin,ok,2,2,8,0,[],https://www.newadvent.org/summa/2086.htm,
st.i-ii.q087,i-ii,87,The debt of punishment,partial,8,8,31,1,[],https://www.newadvent.org/summa/2087.htm,
st.i-ii.q088,i-ii,88,Venial and mortal sin,ok,6,6,26,0,[],https://www.newadvent.org/summa/2088.htm,
st.i-ii.q089,i-ii,89,Venial sin in itself,partial,6,6,24,1,[],https://www.newadvent.org/summa/2089.htm,
st.i-ii.q090,i-ii,90,The essence of law,ok,4,4,16,0,[],https://www.newadvent.org/summa/2090.htm,
st.i-ii.q091,i-ii,91,The various kinds of law,ok,6,6,24,0,[],https://www.newadvent.org/summa/2091.htm,
st.i-ii.q092,i-ii,92,The effects of law,ok,2,2,10,0,[],https://www.newadvent.org/summa/2092.htm,
st.i-ii.q093,i-ii,93,The eternal law,ok,6,6,24,0,[],https://www.newadvent.org/summa/2093.htm,
st.i-ii.q094,i-ii,94,The natural law,ok,6,6,24,0,[],https://www.newadvent.org/summa/2094.htm,
st.i-ii.q095,i-ii,95,Human law,partial,4,4,12,2,[],https://www.newadvent.org/summa/2095.htm,
st.i-ii.q096,i-ii,96,The power of human law,ok,6,6,24,0,[],https://www.newadvent.org/summa/2096.htm,
st.i-ii.q097,i-ii,97,Change in laws,ok,4,4,15,0,[],https://www.newadvent.org/summa/2097.htm,
st.i-ii.q098,i-ii,98,The old law,ok,6,6,25,0,[],https://www.newadvent.org/summa/2098.htm,
st.i-ii.q099,i-ii,99,The precepts of the old law,ok,6,6,22,0,[],https://www.newadvent.org/summa/2099.htm,
st.i-ii.q100,i-ii,100,The moral precepts of the old law,partial,12,12,50,2,[],https://www.newadvent.org/summa/2100.htm,
st.i-ii.q101,i-ii,101,The ceremonial precepts in themselves,ok,4,4,19,0,[],https://www.newadvent.org/summa/2101.htm,
st.i-ii.q102,i-ii,102,The causes of the ceremonial precepts,ok,6,6,54,0,[],https://www.newadvent.org/summa/2102.htm,
st.i-ii.q103,i-ii,103,The duration of the ceremonial precepts,ok,4,4,18,0,[],https://www.newadvent.org/summa/2103.htm,
st.i-ii.q104,i-ii,104,The judicial precepts,ok,4,4,16,0,[],https://www.newadvent.org/summa/2104.htm,
st.i-ii.q105,i-ii,105,The reason for the judicial precepts,ok,4,4,36,0,[],https://www.newadvent.org/summa/2105.htm,
st.i-ii.q106,i-ii,106,"The law of the Gospel, called the New Law, considered in itself",ok,4,4,17,0,[],https://www.newadvent.org/summa/2106.htm,
st.i-ii.q107,i-ii,107,The new law as compared with the old,ok,4,4,17,0,[],https://www.newadvent.org/summa/2107.htm,
st.i-ii.q108,i-ii,108,Things that are contained in the New Law,ok,4,4,21,0,[],https://www.newadvent.org/summa/2108.htm,
st.i-ii.q109,i-ii,109,The necessity of grace,ok,10,10,40,0,[],https://www.newadvent.org/summa/2109.htm,
st.i-ii.q110,i-ii,110,The grace of God as regards its essence,ok,4,4,16,0,[],https://www.newadvent.org/summa/2110.htm,
st.i-ii.q111,i-ii,111,The division of grace,ok,5,5,22,0,[],https://www.newadvent.org/summa/2111.htm,
st.i-ii.q112,i-ii,112,The cause of grace,ok,5,5,22,0,[],https://www.newadvent.org/summa/2112.htm,
st.i-ii.q113,i-ii,113,The effects of grace,ok,10,10,41,0,[],https://www.newadvent.org/summa/2113.htm,
st.i-ii.q114,i-ii,114,Merit,ok,10,10,40,0,[],https://www.newadvent.org/summa/2114.htm,
st.ii-ii.q001,ii-ii,1,Faith,ok,10,10,49,0,[],https://www.newadvent.org/summa/3001.htm,
st.ii-ii.q002,ii-ii,2,The act of faith,ok,10,10,40,0,[],https://www.newadvent.org/summa/3002.htm,
st.ii-ii.q003,ii-ii,3,The outward act of faith,ok,2,2,8,0,[],https://www.newadvent.org/summa/3003.htm,
st.ii-ii.q004,ii-ii,4,The virtue itself of faith,ok,8,8,37,0,[],https://www.newadvent.org/summa/3004.htm,
st.ii-ii.q005,ii-ii,5,Those who have faith,ok,4,4,16,0,[],https://www.newadvent.org/summa/3005.htm,
st.ii-ii.q006,ii-ii,6,The cause of faith,ok,2,2,8,0,[],https://www.newadvent.org/summa/3006.htm,
st.ii-ii.q007,ii-ii,7,The effects of faith,ok,2,2,8,0,[],https://www.newadvent.org/summa/3007.htm,
st.ii-ii.q008,ii-ii,8,The gift of understanding,partial,8,8,26,4,[],https://www.newadvent.org/summa/3008.htm,
st.ii-ii.q009,ii-ii,9,The gift of knowledge,ok,4,4,15,0,[],https://www.newadvent.org/summa/3009.htm,
st.ii-ii.q010,ii-ii,10,Unbelief in general,partial,12,12,42,4,[],https://www.newadvent.org/summa/3010.htm,
st.ii-ii.q011,ii-ii,11,Heresy,ok,4,4,16,0,[],https://www.newadvent.org/summa/3011.htm,
st.ii-ii.q012,ii-ii,12,Apostasy,ok,2,2,8,0,[],https://www.newadvent.org/summa/3012.htm,
st.ii-ii.q013,ii-ii,13,"The sin of blasphemy, in general",ok,4,4,16,0,[],https://www.newadvent.org/summa/3013.htm,
st.ii-ii.q014,ii-ii,14,Blasphemy against the Holy Ghost,ok,4,4,17,0,[],https://www.newadvent.org/summa/3014.htm,
st.ii-ii.q015,ii-ii,15,The vices opposed to knowledge and understanding,partial,3,3,9,2,[],https://www.newadvent.org/summa/3015.htm,
st.ii-ii.q016,ii-ii,16,"The precepts of faith, knowledge and understanding",ok,2,2,11,0,[],https://www.newadvent.org/summa/3016.htm,
st.ii-ii.q017,ii-ii,17,"Hope, considered in itself",partial,8,8,26,4,[],https://www.newadvent.org/summa/3017.htm,
st.ii-ii.q018,ii-ii,18,The subject of hope,ok,4,4,16,0,[],https://www.newadvent.org/summa/3018.htm,
st.ii-ii.q019,ii-ii,19,The gift of fear,ok,12,12,50,0,[],https://www.newadvent.org/summa/3019.htm,
st.ii-ii.q020,ii-ii,20,Despair,partial,4,4,11,2,[],https://www.newadvent.org/summa/3020.htm,
st.ii-ii.q021,ii-ii,21,Presumption,partial,4,4,13,2,[],https://www.newadvent.org/summa/3021.htm,
st.ii-ii.q022,ii-ii,22,The precepts relating to hope and fear,ok,2,2,8,0,[],https://www.newadvent.org/summa/3022.htm,
st.ii-ii.q023,ii-ii,23,"Charity, considered in itself",ok,8,8,32,0,[],https://www.newadvent.org/summa/3023.htm,
st.ii-ii.q024,ii-ii,24,The subject of charity,ok,12,12,50,0,[],https://www.newadvent.org/summa/3024.htm,
st.ii-ii.q025,ii-ii,25,The object of charity,partial,12,12,44,2,[],https://www.newadvent.org/summa/3025.htm,
st.ii-ii.q026,ii-ii,26,The order of charity,ok,13,13,51,0,[],https://www.newadvent.org/summa/3026.htm,
st.ii-ii.q027,ii-ii,27,"The principle act of charity, which is to love",partial,8,8,27,2,[],https://www.newadvent.org/summa/3027.htm,
st.ii-ii.q028,ii-ii,28,Joy,ok,4,4,16,0,[],https://www.newadvent.org/summa/3028.htm,
st.ii-ii.q029,ii-ii,29,Peace,ok,4,4,16,0,[],https://www.newadvent.org/summa/3029.htm,
st.ii-ii.q030,ii-ii,30,Mercy,ok,4,4,17,0,[],https://www.newadvent.org/summa/3030.htm,
st.ii-ii.q031,ii-ii,31,Beneficence,ok,4,4,16,0,[],https://www.newadvent.org/summa/3031.htm,
st.ii-ii.q032,ii-ii,32,Almsdeeds,partial,10,10,39,2,[],https://www.newadvent.org/summa/3032.htm,
st.ii-ii.q033,ii-ii,33,Fraternal correction,partial,8,8,33,2,[],https://www.newadvent.org/summa/3033.htm,
